	word	category	matched
110	everything	NN	0
111	going	VBG	1
112	half	NN	0
113	increments	NNS	0
114	re	NN	0
115	step	NN	0
116	try	NN	0
117	back	RB	1
118	drag	NN	0
119	foot	NN	0
120	front	NN	0
121	going	VBG	1
122	re	NN	0
123	slide	NN	0
124	back	RB	0
125	drag	NN	0
126	foot	NN	0
127	forward	RB	0
128	front	NN	0
129	going	VBG	1
130	moving	VBG	1
131	re	NN	0
132	slide	NN	0
133	whenever	NN	0
134	enough	RB	0
135	get	VB	1
136	s	NN	0
137	four	CD	1
138	head	NN	0
139	instrument	NN	0
140	ll	NN	0
141	notice	NN	0
142	s	NN	0
143	stock	NN	0
144	stringed	VBN	0
145	guitar	NN	0
146	nylon	NN	0
147	similar	JJ	1
148	string	NN	0
149	strings	NNS	0
150	tied	VBN	0
151	either	DT	0
152	guitar	NN	0
153	nylon	NN	0
154	s	NN	0
155	softer	NN	0
156	style	NN	0
157	use	NN	0
158	Hi	NN	0
159	learning	VBG	0
160	play	NN	0
161	re	NN	0
162	today	NN	0
163	ukulele	NN	0
164	going	VBG	1
165	instrument	NN	0
166	musical	JJ	0
167	play	NN	0
168	re	NN	0
169	tune	NN	0
170	good	JJ	1
171	pretty	RB	0
172	s	NN	0
173	s	NN	0
174	tune	NN	0
175	ukulele	NN	0
176	different	JJ	1
177	hitting	VBG	0
178	pitches	NNS	0
179	talked	VBD	1
180	types	NNS	0
181	ve	NN	0
182	already	RB	0
183	bar	NN	0
184	breaking	VBG	1
185	go	VB	1
186	hands	NNS	0
187	many	JJ	0
188	re	NN	0
189	rules	NNS	0
190	talked	VBD	0
191	ve	NN	0
192	way	NN	0
193	break	NN	1
194	different	JJ	1
195	going	VBG	1
196	re	NN	0
197	swing	VBG	0
198	things	NNS	0
199	able	JJ	0
200	depending	VBG	0
201	dragging	VBG	0
202	get	VB	1
203	going	VBG	1
204	guy	NN	0
205	hard	JJ	1
206	know	VB	0
207	like	IN	1
208	m	NN	0
209	old	JJ	0
210	sitting	VBG	1
211	swinging	VBG	0
212	throws	NNS	0
213	zone	NN	0
214	baseball	NN	0
215	going	VBG	1
216	hands	NNS	0
217	inside	IN	0
218	keeping	VBG	0
219	re	NN	0
220	talk	NN	1
221	Keeping	VBG	0
222	ball	NN	0
223	hands	NNS	0
224	inside	IN	0
225	like	IN	0
226	looks	NNS	1
227	draw	NN	0
228	fade	NN	0
229	going	VBG	1
230	re	NN	0
231	try	NN	0
232	good	JJ	1
233	half	NN	0
234	pretty	RB	0
235	s	NN	0
236	wedge	NN	0
237	eighty	NN	0
238	get	VB	1
239	going	VBG	1
240	lot	NN	0
241	m	NN	0
242	sand	NN	0
243	use	NN	1
244	wedge	NN	0
245	within	IN	0
246	yards	NNS	0
247	get	VB	0
248	lined	VBN	0
249	target	NN	0
250	want	NN	0
251	People	NNS	0
252	bound	NN	0
253	flip	NN	0
254	going	VBG	1
255	injure	NN	0
256	nothing	NN	0
257	re	NN	0
258	s	NN	0
259	securely	RB	0
260	Also	RB	0
261	good	JJ	1
262	see	VB	1
263	visual	JJ	0
264	yeah	NN	0
265	One	CD	0
266	binding	NN	0
267	firmly	RB	0
268	hold	NN	1
269	pretty	RB	0
270	professional	JJ	0
271	script	NN	0
272	thing	NN	0
273	advice	NN	0
274	basically	RB	0
275	bind	NN	0
276	good	JJ	1
277	script	NN	0
278	bound	NN	1
279	example	NN	0
280	nicely	RB	0
281	s	NN	0
282	script	NN	0
283	binding	NN	0
284	consider	VB	0
285	like	IN	0
286	longer	NN	0
287	might	MD	0
288	script	NN	0
289	difference	NN	0
290	going	VBG	1
291	re	NN	0
292	season	NN	0
293	snow	NN	0
294	talk	NN	1
295	tires	NNS	0
296	today	NN	0
297	around	IN	0
298	driving	VBG	1
299	get	VB	1
300	re	NN	0
301	seasons	NNS	0
302	snow	NN	0
303	time	NN	1
304	actually	RB	0
305	already	RB	0
306	help	NN	1
307	see	VB	1
308	studded	VBN	0
309	studs	NNS	0
310	tire	NN	0
311	Alright	NN	0
312	combat	NN	0
313	go	VB	1
314	going	VBG	1
315	naps	NNS	0
316	next	JJ	1
317	re	NN	0
318	stage	NN	0
319	thing	NN	1
320	basically	RB	0
321	generally	RB	0
322	hear	NN	0
323	hitting	VBG	0
324	kicking	VBG	0
325	nap	NN	0
326	punching	VBG	0
327	s	NN	0
328	someone	NN	0
329	sound	NN	1
330	basically	RB	0
331	get	VB	0
332	ll	NN	0
333	naps	NNS	1
334	s	NN	0
335	second	JJ	0
336	three	CD	0
337	types	NNS	0
338	usually	RB	0
339	acting	VBG	1
340	follow	VB	0
341	re	NN	0
342	still	RB	0
343	able	JJ	0
344	child	NN	0
345	contact	NN	1
346	good	JJ	1
347	point	NN	0
348	really	RB	0
349	s	NN	0
350	stranger	NN	0
351	way	NN	0
352	younger	JJR	0
353	also	RB	0
354	child	NN	0
355	could	MD	0
356	fun	NN	0
357	help	NN	0
358	make	VB	1
359	project	NN	0
