	word	category	matched
492	forever	RB	0
493	Nn	NN	0
494	watch	NN	0
495	percentage	NN	0
496	but	CC	0
497	who	WP	0
498	teach me	VB	0
499	who	WP	0
500	he	PRP	0
501	teacher	NN	0
502	Welcome	VB	0
503	C E S Y	NNP	0
504	she	PRP	0
505	teach me	VB	0
506	excuse me	IN	0
507	percentage	NN	0
508	hello	NN	0
509	hello	NN	0
510	kids	NNS	1
511	everything	NN	0
512	Peru	NN	0
513	hello	NN	0
514	P A T R I C I A	VB	0
515	PA T R I C I A	NNP	0
516	happy	JJ	0
517	together	RB	0
518	to share	TO	0
519	together	RB	0
520	you guys	PRP	0
521	today	NN	0
522	good	JJ	1
523	good	JJ	1
524	he	PRP	0
525	tell me	VB	0
526	P A T R I C I A	VB	0
527	she	PRP	0
528	tell	NN	0
529	eat	NN	0
530	to have	TO	0
531	protein	NN	0
532	within	IN	0
533	C A R B O H I D R A T O S	VB	0
534	fat	NN	0
535	vitamins	NNS	0
536	M I N E R A L E S	NNP	0
537	Water	NN	0
538	Inside / Include?	IN	0
539	meal	NN	0
540	today	NN	0
541	theme	NN	0
542	talk	NN	0
543	P R O T E I N A S	NNP	0
544	that	IN	0
545	important	JJ	0
546	ingest	NN	0
547	to sense	TO	0
548	strengthen	NN	0
549	that	IN	0
550	P R O T E I N A	NNP	0
551	protein	NN	0
552	too	RB	0
553	fat	NN	0
554	C A R B O H I D R A T O S	VB	0
555	that	IN	0
556	little	JJ	0
557	fat	NN	0
558	Group	NNP	1
559	them	PRP	0
560	eat	NN	0
561	good	JJ	0
562	count 1	NN	0
563	each	DT	0
564	three	CD	0
565	Yes	UH	0
566	within	IN	0
567	me	PRP	0
568	different	JJ	0
569	to sense	TO	0
570	strong	JJ	0
571	Protein	NN	0
572	that	IN	0
573	help me	VB	0
574	growing up	VBG	0
575	growing up	VBG	0
576	ok	NN	0
577	good	JJ	1
578	me	PRP	0
579	within	IN	0
580	strength	NN	0
581	strengthen	NN	0
582	muscle	NN	0
583	strong	JJ	0
584	muscle	NN	0
585	muscle	NN	0
586	strong	JJ	0
587	strong	JJ	0
588	move	NN	1
589	eat	NN	0
590	to sense	TO	0
591	plus	CC	0
592	boost	NN	0
593	awake	NN	0
594	too	RB	0
595	within	IN	0
596	body	NN	1
597	too	RB	0
598	body	NN	1
599	to think	TO	0
600	pain	NN	0
601	to sense	TO	0
602	within	IN	0
603	to sense	TO	0
604	body	NN	1
605	everything	NN	0
606	information	NN	0
607	that	IN	0
608	need	NN	1
609	interesting	VBG	0
610	but	CC	0
611	your	PRP$	0
612	to think	TO	0
613	to call	TO	0
614	P A T R I C I A	VB	0
615	she	PRP	0
616	to come	TO	0
617	together	RB	0
618	your	PRP$	0
619	how many	WRB	0
620	together	RB	0
621	watch	NN	0
622	to think	TO	0
623	that	IN	0
624	eat	NN	0
625	good	JJ	1
626	within	IN	0
627	strong	JJ	0
628	important	JJ	0
629	me	PRP	0
630	here	RB	0
631	hello	NN	0
632	Yes	UH	0
633	Yes	UH	0
634	your	PRP$	0
635	important	JJ	0
636	participate	VB	0
637	that	IN	0
638	your	PRP$	0
639	to think	TO	0
640	to think	TO	0
641	that	IN	0
642	that	IN	0
643	eat	NN	0
644	can	MD	0
645	your	PRP$	0
646	within	IN	0
647	Protein	NN	0
648	which	WDT	0
649	a	DT	0
650	From	IN	0
651	animals	NNS	0
652	cow	NN	0
653	eat	NN	0
654	Yes	UH	0
655	Protein	NN	0
656	Yes	UH	0
657	reason	NN	0
658	Yes	UH	0
659	but	CC	0
660	alone	RB	0
661	cow	NN	0
662	alone	RB	0
663	within	IN	0
664	protein	NN	0
665	one	CD	0
666	no	DT	0
667	different	JJ	0
668	From	IN	0
669	PriiMero	NN	0
670	animal	NN	0
671	second	JJ	0
672	vegetables	NNS	0
673	one	CD	0
674	animals	NNS	0
675	Protein	NN	0
676	inside	IN	0
677	where	WRB	0
678	egg	NN	0
679	milk	NN	0
680	different	JJ	0
681	From	IN	0
682	meat	NN	0
683	fish	NN	0
684	pork	NN	0
685	chicken	NN	0
686	meat	NN	0
687	cow	NN	0
688	different	JJ	0
689	now	RB	0
690	your	PRP$	0
691	within	IN	0
692	food	NN	0
693	Protein	NN	0
694	that	IN	0
695	C H A RQ Wi	NNP	0
696	that	IN	0
697	meat	NN	0
698	dried	VBN	0
699	cow	NN	0
700	different	JJ	0
701	animals	NNS	0
702	how many	WRB	0
703	protein	NN	0
704	eat	NN	0
705	how many	WRB	0
706	approximate	NN	0
707	how many	WRB	0
708	eat	NN	0
709	Diarifying	VBG	0
710	your	PRP$	0
711	eat	NN	0
712	need	NN	1
713	each	DT	0
714	person	NN	0
715	It depends	PRP	0
716	he	PRP	0
717	age	NN	0
718	that	IN	0
719	man	NN	1
720	woman	NN	0
721	O	NN	0
722	adult	NN	0
723	your	PRP$	0
724	do	VB	0
725	training	NN	0
726	that	IN	0
727	training	NN	0
728	them	PRP	0
729	different	JJ	0
730	that	IN	0
731	to ask	TO	0
732	how many	WRB	0
733	need	NN	1
734	those	DT	0
735	kids	NNS	1
736	fifth	NN	0
737	grade	NN	0
738	sixth	NNS	0
739	grade	NN	0
740	now	RB	0
741	your	PRP$	0
742	look at me.	NN	0
743	how many	WRB	0
744	eat	NN	0
745	how many	WRB	0
746	approximately	RB	0
747	them	PRP	0
748	eat	NN	0
749	each	DT	0
750	kids	NNS	1
751	different	JJ	0
752	good	JJ	1
753	about	IN	0
754	to think	TO	0
755	them	PRP	0
756	tell	NN	0
757	kids	NNS	1
758	school	NN	0
759	fifth	NN	0
760	sixth	NNS	0
761	primary	NN	0
762	to think	TO	0
763	your	PRP$	0
764	about	IN	0
765	value	NN	0
766	eat	NN	0
767	about	IN	0
768	them	PRP	0
769	man	NN	1
770	woman	NN	0
771	kid	NN	1
772	kid	NN	1
773	to think	TO	0
774	them	PRP	0
775	fifth	NN	0
776	grade	NN	0
777	sixth	NNS	0
778	grade	NN	0
779	primary	NN	0
780	kid	NN	1
781	kid	NN	1
782	to think	TO	0
783	your	PRP$	0
784	eat	NN	0
785	about	IN	0
786	fifty	NN	0
787	grams	NNS	0
788	eat	NN	0
789	Protein	NN	0
790	daily	JJ	0
791	eat	NN	0
792	five	CD	0
793	zero	NN	0
794	G-R	NN	0
795	protein	NN	0
796	contain	NN	0
797	no	DT	0
798	equal	JJ	1
799	everything	NN	0
800	protein	NN	0
801	no	DT	0
802	part	NN	0
803	C-A-R-B-O-H-I-D-R-A-T-O-S	NN	0
804	fat	NN	0
805	vitamin	NN	0
806	mineral	NN	0
807	M-I-N-E-R-A-L-E-S	NN	0
808	Water	NN	0
809	today	NN	0
810	focus	NN	0
811	break apart	VB	0
812	contain	NN	0
813	protein	NN	0
814	within	IN	0
815	meat	NN	0
816	chicken	NN	0
817	that	IN	0
818	seven	CD	0
819	zero	NN	1
820	percentage	NN	0
821	Water	NN	0
822	ten	NNS	0
823	percentage	NN	0
824	fat	NN	0
825	From	IN	0
826	zero	NN	1
827	percentage	NN	0
828	protein	NN	0
829	zero	NN	1
830	percentage	NN	0
831	C-A-R-B-O-H-I-D-R-A-T-O-S	NN	0
832	to share	TO	0
833	focus	NN	0
834	protein	NN	0
835	meat	NN	0
836	chicken	NN	0
837	From	IN	0
838	zero	NN	1
839	percentage	NN	0
840	protein	NN	0
841	good	JJ	0
842	how many	WRB	0
843	approximate	NN	0
844	chicken	NN	0
845	Protein	NN	0
846	percentage	NN	0
847	summer	NN	0
848	one	CD	0
849	Prices	NNS	0
850	percentage	NN	0
851	remind	NN	0
852	how many	WRB	0
853	eat	NN	0
854	daily	JJ	0
855	fifth	NN	0
856	sixth	NNS	0
857	kid	NN	1
858	kid	NN	1
859	five	CD	0
860	zero	NN	0
861	G-R	NN	0
862	protein	NN	0
863	how many	WRB	0
864	weigh	NN	0
865	eat	NN	0
866	how many	WRB	0
867	uman	NN	0
868	hard	JJ	0
869	quiet	JJ	0
870	me	PRP	0
871	how many	WRB	0
872	weigh	NN	0
873	chicken	NN	0
874	weigh	NN	0
875	From	IN	0
876	Prices	NNS	0
877	G-R	NN	0
878	how many	WRB	0
879	percentage	NN	0
880	eat	NN	0
881	your	PRP$	0
882	chicken	NN	0
883	how many	WRB	0
884	percentage	NN	0
885	From	IN	0
886	Prices	NNS	0
887	percentage	NN	0
888	protein	NN	0
889	your	PRP$	0
890	solution	NN	0
891	court	NN	0
892	return	NN	0
893	return	NN	1
894	weather	NN	0
895	your	PRP$	0
896	tell	NN	0
897	to share	TO	0
898	your	PRP$	0
899	to think	TO	0
900	now	RB	0
901	??	.	0
902	to write	TO	0
903	Grid	NN	0
904	to write	TO	0
905	colors	NNS	0
906	too	RB	0
907	rule	NN	0
908	now	RB	0
909	Go back / Reply	NNP	0
910	your	PRP$	0
911	adult	NN	0
912	ask for	NN	0
913	to come	TO	0
914	to write	TO	0
915	help you	NN	0
916	annotate	NN	0
917	notebook	NN	0
918	Grid	NN	0
919	pencil	NN	0
920	colors	NNS	0
921	rule	NN	0
922	ask for	NN	0
923	he	PRP	0
924	teacher	NN	0
925	to come	TO	0
926	expect	VB	0
927	Ready	JJ	0
928	kid	NN	1
929	bring	NN	0
930	to think	TO	0
931	excuse me	IN	0
932	sort out	NN	0
933	how many	WRB	0
934	G-R	NN	0
935	protein	NN	0
936	how many	WRB	0
937	weigh	NN	0
938	hard	JJ	0
939	?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????	.	0
940	together	RB	0
941	grid.	NN	0
942	share	NN	0
943	one	CD	0
944	Prices	NNS	0
945	one	CD	0
946	Prices	NNS	0
947	percentage	NN	0
948	one	CD	0
949	Prices	NNS	0
950	percentage	NN	0
951	everything	NN	0
952	one	CD	0
953	Prices	NNS	0
954	percentage	NN	0
955	me	PRP	0
956	I ask	PRP	0
957	how many	WRB	0
958	percentage	NN	0
959	how many	WRB	0
960	one	CD	0
961	percentage	NN	0
962	Right	RB	0
963	one	CD	0
964	percentage	NN	0
