Name,ClassId,TR,EN
signer12_sample461,41,cirkin,ugly
signer12_sample604,41,cirkin,ugly
signer12_sample723,41,cirkin,ugly
signer12_sample1118,41,cirkin,ugly
signer12_sample1762,41,cirkin,ugly
signer12_sample1862,41,cirkin,ugly
signer12_sample2017,41,cirkin,ugly
signer13_sample171,41,cirkin,ugly
signer13_sample343,41,cirkin,ugly
signer13_sample446,41,cirkin,ugly
signer13_sample569,41,cirkin,ugly
signer13_sample572,41,cirkin,ugly
signer13_sample1645,41,cirkin,ugly
signer13_sample1826,41,cirkin,ugly
signer13_sample1866,41,cirkin,ugly
signer13_sample1885,41,cirkin,ugly
signer15_sample77,41,cirkin,ugly
signer15_sample354,41,cirkin,ugly
signer17_sample259,41,cirkin,ugly
signer17_sample419,41,cirkin,ugly
signer19_sample147,41,cirkin,ugly
signer19_sample305,41,cirkin,ugly
signer19_sample613,41,cirkin,ugly
signer20_sample21,41,cirkin,ugly
signer20_sample114,41,cirkin,ugly
signer20_sample290,41,cirkin,ugly
signer21_sample30,41,cirkin,ugly
signer21_sample234,41,cirkin,ugly
signer21_sample489,41,cirkin,ugly
signer22_sample241,41,cirkin,ugly
signer22_sample326,41,cirkin,ugly
signer22_sample382,41,cirkin,ugly
signer23_sample411,41,cirkin,ugly
signer23_sample515,41,cirkin,ugly
signer23_sample626,41,cirkin,ugly
signer24_sample77,41,cirkin,ugly
signer24_sample170,41,cirkin,ugly
signer24_sample275,41,cirkin,ugly
signer26_sample168,41,cirkin,ugly
signer26_sample224,41,cirkin,ugly
signer26_sample501,41,cirkin,ugly
signer28_sample348,41,cirkin,ugly
signer28_sample576,41,cirkin,ugly
signer28_sample603,41,cirkin,ugly
signer29_sample40,41,cirkin,ugly
signer29_sample101,41,cirkin,ugly
signer29_sample329,41,cirkin,ugly
signer31_sample212,41,cirkin,ugly
signer31_sample524,41,cirkin,ugly
signer31_sample621,41,cirkin,ugly
signer32_sample208,41,cirkin,ugly
signer32_sample313,41,cirkin,ugly
signer33_sample366,41,cirkin,ugly
signer33_sample533,41,cirkin,ugly
signer33_sample590,41,cirkin,ugly
signer36_sample87,41,cirkin,ugly
signer36_sample318,41,cirkin,ugly
signer36_sample472,41,cirkin,ugly
signer37_sample374,41,cirkin,ugly
signer37_sample393,41,cirkin,ugly
signer37_sample525,41,cirkin,ugly
signer38_sample26,41,cirkin,ugly
signer38_sample76,41,cirkin,ugly
signer38_sample147,41,cirkin,ugly
signer40_sample478,41,cirkin,ugly
signer40_sample513,41,cirkin,ugly
signer40_sample527,41,cirkin,ugly
signer41_sample98,41,cirkin,ugly
signer41_sample295,41,cirkin,ugly
signer41_sample436,41,cirkin,ugly
signer42_sample60,41,cirkin,ugly
signer42_sample70,41,cirkin,ugly
signer42_sample542,41,cirkin,ugly
signer0_sample2,104,kalorifer,radiator
signer0_sample248,104,kalorifer,radiator
signer0_sample331,104,kalorifer,radiator
signer0_sample745,104,kalorifer,radiator
signer0_sample1042,104,kalorifer,radiator
signer0_sample1230,104,kalorifer,radiator
signer2_sample230,104,kalorifer,radiator
signer2_sample599,104,kalorifer,radiator
signer2_sample764,104,kalorifer,radiator
signer2_sample913,104,kalorifer,radiator
signer2_sample1112,104,kalorifer,radiator
signer2_sample1346,104,kalorifer,radiator
signer3_sample287,104,kalorifer,radiator
signer3_sample587,104,kalorifer,radiator
signer3_sample659,104,kalorifer,radiator
signer4_sample521,104,kalorifer,radiator
signer4_sample566,104,kalorifer,radiator
signer4_sample581,104,kalorifer,radiator
signer5_sample1,104,kalorifer,radiator
signer5_sample28,104,kalorifer,radiator
signer5_sample515,104,kalorifer,radiator
signer7_sample177,104,kalorifer,radiator
signer7_sample386,104,kalorifer,radiator
signer7_sample465,104,kalorifer,radiator
signer7_sample789,104,kalorifer,radiator
signer7_sample1126,104,kalorifer,radiator
signer7_sample1191,104,kalorifer,radiator
signer7_sample1456,104,kalorifer,radiator
signer7_sample1491,104,kalorifer,radiator
signer7_sample1769,104,kalorifer,radiator
signer7_sample1910,104,kalorifer,radiator
signer7_sample2100,104,kalorifer,radiator
signer7_sample2450,104,kalorifer,radiator
signer8_sample10,104,kalorifer,radiator
signer8_sample150,104,kalorifer,radiator
signer8_sample673,104,kalorifer,radiator
signer8_sample711,104,kalorifer,radiator
signer8_sample731,104,kalorifer,radiator
signer8_sample812,104,kalorifer,radiator
signer8_sample882,104,kalorifer,radiator
signer8_sample1258,104,kalorifer,radiator
signer8_sample1523,104,kalorifer,radiator
signer8_sample1649,104,kalorifer,radiator
signer8_sample2566,104,kalorifer,radiator
signer8_sample2614,104,kalorifer,radiator
signer9_sample81,104,kalorifer,radiator
signer9_sample236,104,kalorifer,radiator
signer9_sample375,104,kalorifer,radiator
signer10_sample280,104,kalorifer,radiator
signer10_sample540,104,kalorifer,radiator
signer10_sample639,104,kalorifer,radiator
signer12_sample99,104,kalorifer,radiator
signer12_sample179,104,kalorifer,radiator
signer12_sample214,104,kalorifer,radiator
signer12_sample726,104,kalorifer,radiator
signer12_sample797,104,kalorifer,radiator
signer12_sample1059,104,kalorifer,radiator
signer12_sample1473,104,kalorifer,radiator
signer12_sample1845,104,kalorifer,radiator
signer12_sample1893,104,kalorifer,radiator
signer13_sample140,104,kalorifer,radiator
signer13_sample352,104,kalorifer,radiator
signer13_sample726,104,kalorifer,radiator
signer13_sample733,104,kalorifer,radiator
signer13_sample827,104,kalorifer,radiator
signer13_sample964,104,kalorifer,radiator
signer13_sample1305,104,kalorifer,radiator
signer13_sample1530,104,kalorifer,radiator
signer13_sample1802,104,kalorifer,radiator
signer15_sample14,104,kalorifer,radiator
signer15_sample304,104,kalorifer,radiator
signer17_sample18,104,kalorifer,radiator
signer17_sample405,104,kalorifer,radiator
signer19_sample91,104,kalorifer,radiator
signer19_sample296,104,kalorifer,radiator
signer19_sample334,104,kalorifer,radiator
signer20_sample255,104,kalorifer,radiator
signer20_sample575,104,kalorifer,radiator
signer20_sample602,104,kalorifer,radiator
signer21_sample95,104,kalorifer,radiator
signer21_sample217,104,kalorifer,radiator
signer21_sample480,104,kalorifer,radiator
signer22_sample271,104,kalorifer,radiator
signer22_sample340,104,kalorifer,radiator
signer22_sample372,104,kalorifer,radiator
signer23_sample74,104,kalorifer,radiator
signer23_sample138,104,kalorifer,radiator
signer23_sample566,104,kalorifer,radiator
signer24_sample428,104,kalorifer,radiator
signer24_sample572,104,kalorifer,radiator
signer24_sample666,104,kalorifer,radiator
signer26_sample240,104,kalorifer,radiator
signer26_sample298,104,kalorifer,radiator
signer26_sample333,104,kalorifer,radiator
signer28_sample127,104,kalorifer,radiator
signer28_sample184,104,kalorifer,radiator
signer28_sample457,104,kalorifer,radiator
signer29_sample82,104,kalorifer,radiator
signer29_sample172,104,kalorifer,radiator
signer29_sample508,104,kalorifer,radiator
signer31_sample64,104,kalorifer,radiator
signer31_sample354,104,kalorifer,radiator
signer31_sample462,104,kalorifer,radiator
signer32_sample59,104,kalorifer,radiator
signer32_sample128,104,kalorifer,radiator
signer32_sample329,104,kalorifer,radiator
signer33_sample33,104,kalorifer,radiator
signer33_sample281,104,kalorifer,radiator
signer33_sample368,104,kalorifer,radiator
signer36_sample12,104,kalorifer,radiator
signer36_sample22,104,kalorifer,radiator
signer36_sample321,104,kalorifer,radiator
signer37_sample209,104,kalorifer,radiator
signer37_sample283,104,kalorifer,radiator
signer37_sample441,104,kalorifer,radiator
signer38_sample514,104,kalorifer,radiator
signer38_sample563,104,kalorifer,radiator
signer38_sample620,104,kalorifer,radiator
signer40_sample283,104,kalorifer,radiator
signer40_sample446,104,kalorifer,radiator
signer40_sample515,104,kalorifer,radiator
signer41_sample180,104,kalorifer,radiator
signer41_sample261,104,kalorifer,radiator
signer41_sample635,104,kalorifer,radiator
signer42_sample113,104,kalorifer,radiator
signer42_sample409,104,kalorifer,radiator
signer42_sample481,104,kalorifer,radiator
signer0_sample3,205,vergi,tax
signer0_sample31,205,vergi,tax
signer0_sample202,205,vergi,tax
signer0_sample337,205,vergi,tax
signer0_sample667,205,vergi,tax
signer0_sample875,205,vergi,tax
signer2_sample164,205,vergi,tax
signer2_sample593,205,vergi,tax
signer2_sample606,205,vergi,tax
signer2_sample713,205,vergi,tax
signer2_sample893,205,vergi,tax
signer2_sample1330,205,vergi,tax
signer3_sample352,205,vergi,tax
signer3_sample552,205,vergi,tax
signer3_sample635,205,vergi,tax
signer4_sample374,205,vergi,tax
signer4_sample459,205,vergi,tax
signer4_sample590,205,vergi,tax
signer5_sample35,205,vergi,tax
signer5_sample261,205,vergi,tax
signer5_sample445,205,vergi,tax
signer7_sample215,205,vergi,tax
signer7_sample232,205,vergi,tax
signer7_sample496,205,vergi,tax
signer7_sample565,205,vergi,tax
signer7_sample685,205,vergi,tax
signer7_sample1274,205,vergi,tax
signer7_sample1340,205,vergi,tax
signer7_sample1554,205,vergi,tax
signer7_sample1849,205,vergi,tax
signer7_sample2270,205,vergi,tax
signer7_sample2422,205,vergi,tax
signer7_sample2597,205,vergi,tax
signer8_sample53,205,vergi,tax
signer8_sample168,205,vergi,tax
signer8_sample203,205,vergi,tax
signer8_sample601,205,vergi,tax
signer8_sample664,205,vergi,tax
signer8_sample1130,205,vergi,tax
signer8_sample1161,205,vergi,tax
signer8_sample1541,205,vergi,tax
signer8_sample1595,205,vergi,tax
signer8_sample1785,205,vergi,tax
signer8_sample2111,205,vergi,tax
signer8_sample2223,205,vergi,tax
signer9_sample28,205,vergi,tax
signer9_sample255,205,vergi,tax
signer9_sample570,205,vergi,tax
signer10_sample192,205,vergi,tax
signer10_sample516,205,vergi,tax
signer10_sample554,205,vergi,tax
signer12_sample242,205,vergi,tax
signer12_sample293,205,vergi,tax
signer12_sample329,205,vergi,tax
signer12_sample871,205,vergi,tax
signer12_sample1010,205,vergi,tax
signer12_sample1193,205,vergi,tax
signer12_sample1306,205,vergi,tax
signer12_sample1771,205,vergi,tax
signer12_sample1992,205,vergi,tax
signer13_sample353,205,vergi,tax
signer13_sample455,205,vergi,tax
signer13_sample616,205,vergi,tax
signer13_sample703,205,vergi,tax
signer13_sample771,205,vergi,tax
signer13_sample1252,205,vergi,tax
signer13_sample1342,205,vergi,tax
signer13_sample1889,205,vergi,tax
signer13_sample1947,205,vergi,tax
signer15_sample263,205,vergi,tax
signer15_sample417,205,vergi,tax
signer17_sample323,205,vergi,tax
signer17_sample433,205,vergi,tax
signer19_sample129,205,vergi,tax
signer19_sample245,205,vergi,tax
signer19_sample449,205,vergi,tax
signer20_sample227,205,vergi,tax
signer20_sample428,205,vergi,tax
signer20_sample620,205,vergi,tax
signer21_sample88,205,vergi,tax
signer21_sample175,205,vergi,tax
signer21_sample254,205,vergi,tax
signer22_sample190,205,vergi,tax
signer22_sample560,205,vergi,tax
signer22_sample613,205,vergi,tax
signer23_sample90,205,vergi,tax
signer23_sample194,205,vergi,tax
signer23_sample321,205,vergi,tax
signer24_sample107,205,vergi,tax
signer24_sample243,205,vergi,tax
signer24_sample304,205,vergi,tax
signer26_sample27,205,vergi,tax
signer26_sample85,205,vergi,tax
signer26_sample134,205,vergi,tax
signer28_sample45,205,vergi,tax
signer28_sample114,205,vergi,tax
signer28_sample317,205,vergi,tax
signer29_sample473,205,vergi,tax
signer29_sample537,205,vergi,tax
signer31_sample295,205,vergi,tax
signer31_sample327,205,vergi,tax
signer31_sample558,205,vergi,tax
signer32_sample27,205,vergi,tax
signer32_sample353,205,vergi,tax
signer32_sample487,205,vergi,tax
signer33_sample300,205,vergi,tax
signer33_sample343,205,vergi,tax
signer33_sample626,205,vergi,tax
signer36_sample205,205,vergi,tax
signer36_sample399,205,vergi,tax
signer37_sample219,205,vergi,tax
signer37_sample321,205,vergi,tax
signer37_sample591,205,vergi,tax
signer38_sample117,205,vergi,tax
signer38_sample386,205,vergi,tax
signer38_sample541,205,vergi,tax
signer40_sample40,205,vergi,tax
signer40_sample180,205,vergi,tax
signer40_sample306,205,vergi,tax
signer41_sample192,205,vergi,tax
signer41_sample451,205,vergi,tax
signer41_sample588,205,vergi,tax
signer42_sample81,205,vergi,tax
signer42_sample207,205,vergi,tax
signer42_sample427,205,vergi,tax
signer0_sample4,26,bayram,feast
signer0_sample290,26,bayram,feast
signer0_sample527,26,bayram,feast
signer0_sample973,26,bayram,feast
signer0_sample1161,26,bayram,feast
signer0_sample1225,26,bayram,feast
signer2_sample29,26,bayram,feast
signer2_sample735,26,bayram,feast
signer2_sample766,26,bayram,feast
signer2_sample841,26,bayram,feast
signer2_sample1011,26,bayram,feast
signer2_sample1162,26,bayram,feast
signer3_sample72,26,bayram,feast
signer3_sample122,26,bayram,feast
signer3_sample162,26,bayram,feast
signer4_sample80,26,bayram,feast
signer4_sample279,26,bayram,feast
signer4_sample602,26,bayram,feast
signer5_sample533,26,bayram,feast
signer5_sample605,26,bayram,feast
signer5_sample674,26,bayram,feast
signer7_sample246,26,bayram,feast
signer7_sample328,26,bayram,feast
signer7_sample602,26,bayram,feast
signer7_sample716,26,bayram,feast
signer7_sample756,26,bayram,feast
signer7_sample776,26,bayram,feast
signer7_sample1759,26,bayram,feast
signer7_sample1890,26,bayram,feast
signer7_sample2384,26,bayram,feast
signer7_sample2414,26,bayram,feast
signer7_sample2500,26,bayram,feast
signer7_sample2567,26,bayram,feast
signer8_sample104,26,bayram,feast
signer8_sample287,26,bayram,feast
signer8_sample575,26,bayram,feast
signer8_sample1008,26,bayram,feast
signer8_sample1501,26,bayram,feast
signer8_sample1646,26,bayram,feast
signer8_sample1706,26,bayram,feast
signer8_sample1820,26,bayram,feast
signer8_sample1853,26,bayram,feast
signer8_sample2444,26,bayram,feast
signer8_sample2496,26,bayram,feast
signer8_sample2671,26,bayram,feast
signer9_sample307,26,bayram,feast
signer9_sample562,26,bayram,feast
signer9_sample578,26,bayram,feast
signer10_sample74,26,bayram,feast
signer10_sample512,26,bayram,feast
signer10_sample601,26,bayram,feast
signer12_sample444,26,bayram,feast
signer12_sample587,26,bayram,feast
signer12_sample735,26,bayram,feast
signer12_sample895,26,bayram,feast
signer12_sample991,26,bayram,feast
signer12_sample1391,26,bayram,feast
signer12_sample1477,26,bayram,feast
signer12_sample1483,26,bayram,feast
signer12_sample1973,26,bayram,feast
signer13_sample113,26,bayram,feast
signer13_sample489,26,bayram,feast
signer13_sample787,26,bayram,feast
signer13_sample905,26,bayram,feast
signer13_sample916,26,bayram,feast
signer13_sample1125,26,bayram,feast
signer13_sample1273,26,bayram,feast
signer13_sample1284,26,bayram,feast
signer13_sample1541,26,bayram,feast
signer15_sample239,26,bayram,feast
signer15_sample391,26,bayram,feast
signer17_sample174,26,bayram,feast
signer17_sample343,26,bayram,feast
signer19_sample195,26,bayram,feast
signer19_sample349,26,bayram,feast
signer19_sample623,26,bayram,feast
signer20_sample343,26,bayram,feast
signer20_sample582,26,bayram,feast
signer20_sample630,26,bayram,feast
signer21_sample114,26,bayram,feast
signer21_sample205,26,bayram,feast
signer21_sample263,26,bayram,feast
signer22_sample290,26,bayram,feast
signer22_sample478,26,bayram,feast
signer23_sample513,26,bayram,feast
signer23_sample639,26,bayram,feast
signer23_sample643,26,bayram,feast
signer24_sample273,26,bayram,feast
signer24_sample489,26,bayram,feast
signer24_sample586,26,bayram,feast
signer26_sample242,26,bayram,feast
signer26_sample470,26,bayram,feast
signer26_sample581,26,bayram,feast
signer28_sample190,26,bayram,feast
signer28_sample530,26,bayram,feast
signer28_sample539,26,bayram,feast
signer29_sample7,26,bayram,feast
signer29_sample417,26,bayram,feast
signer29_sample596,26,bayram,feast
signer31_sample58,26,bayram,feast
signer31_sample371,26,bayram,feast
signer31_sample518,26,bayram,feast
signer32_sample101,26,bayram,feast
signer32_sample314,26,bayram,feast
signer32_sample423,26,bayram,feast
signer33_sample87,26,bayram,feast
signer33_sample222,26,bayram,feast
signer33_sample233,26,bayram,feast
signer36_sample284,26,bayram,feast
signer36_sample496,26,bayram,feast
signer36_sample583,26,bayram,feast
signer37_sample257,26,bayram,feast
signer37_sample399,26,bayram,feast
signer37_sample528,26,bayram,feast
signer38_sample8,26,bayram,feast
signer38_sample355,26,bayram,feast
signer38_sample521,26,bayram,feast
signer40_sample72,26,bayram,feast
signer40_sample83,26,bayram,feast
signer40_sample630,26,bayram,feast
signer41_sample1,26,bayram,feast
signer41_sample85,26,bayram,feast
signer41_sample670,26,bayram,feast
signer42_sample165,26,bayram,feast
signer42_sample296,26,bayram,feast
signer42_sample323,26,bayram,feast
signer0_sample5,191,tavan,ceiling
signer0_sample191,191,tavan,ceiling
signer0_sample206,191,tavan,ceiling
signer0_sample409,191,tavan,ceiling
signer0_sample895,191,tavan,ceiling
signer0_sample1194,191,tavan,ceiling
signer2_sample138,191,tavan,ceiling
signer2_sample261,191,tavan,ceiling
signer2_sample889,191,tavan,ceiling
signer2_sample917,191,tavan,ceiling
signer2_sample1294,191,tavan,ceiling
signer2_sample1339,191,tavan,ceiling
signer3_sample65,191,tavan,ceiling
signer3_sample428,191,tavan,ceiling
signer3_sample529,191,tavan,ceiling
signer4_sample632,191,tavan,ceiling
signer4_sample640,191,tavan,ceiling
signer4_sample649,191,tavan,ceiling
signer5_sample33,191,tavan,ceiling
signer5_sample284,191,tavan,ceiling
signer5_sample498,191,tavan,ceiling
signer7_sample291,191,tavan,ceiling
signer7_sample318,191,tavan,ceiling
signer7_sample448,191,tavan,ceiling
signer7_sample688,191,tavan,ceiling
signer7_sample699,191,tavan,ceiling
signer7_sample860,191,tavan,ceiling
signer7_sample937,191,tavan,ceiling
signer7_sample973,191,tavan,ceiling
signer7_sample1336,191,tavan,ceiling
signer7_sample1770,191,tavan,ceiling
signer7_sample1866,191,tavan,ceiling
signer7_sample2111,191,tavan,ceiling
signer8_sample61,191,tavan,ceiling
signer8_sample70,191,tavan,ceiling
signer8_sample422,191,tavan,ceiling
signer8_sample577,191,tavan,ceiling
signer8_sample800,191,tavan,ceiling
signer8_sample1185,191,tavan,ceiling
signer8_sample1232,191,tavan,ceiling
signer8_sample1285,191,tavan,ceiling
signer8_sample1580,191,tavan,ceiling
signer8_sample1911,191,tavan,ceiling
signer8_sample2103,191,tavan,ceiling
signer8_sample2693,191,tavan,ceiling
signer9_sample319,191,tavan,ceiling
signer9_sample533,191,tavan,ceiling
signer9_sample666,191,tavan,ceiling
signer10_sample297,191,tavan,ceiling
signer10_sample342,191,tavan,ceiling
signer10_sample399,191,tavan,ceiling
signer12_sample69,191,tavan,ceiling
signer12_sample236,191,tavan,ceiling
signer12_sample522,191,tavan,ceiling
signer12_sample611,191,tavan,ceiling
signer12_sample1277,191,tavan,ceiling
signer12_sample1283,191,tavan,ceiling
signer12_sample1371,191,tavan,ceiling
signer12_sample1388,191,tavan,ceiling
signer12_sample1925,191,tavan,ceiling
signer13_sample56,191,tavan,ceiling
signer13_sample211,191,tavan,ceiling
signer13_sample542,191,tavan,ceiling
signer13_sample625,191,tavan,ceiling
signer13_sample680,191,tavan,ceiling
signer13_sample1089,191,tavan,ceiling
signer13_sample1331,191,tavan,ceiling
signer13_sample1408,191,tavan,ceiling
signer13_sample1677,191,tavan,ceiling
signer15_sample27,191,tavan,ceiling
signer15_sample231,191,tavan,ceiling
signer17_sample298,191,tavan,ceiling
signer17_sample314,191,tavan,ceiling
signer19_sample482,191,tavan,ceiling
signer19_sample534,191,tavan,ceiling
signer20_sample80,191,tavan,ceiling
signer20_sample387,191,tavan,ceiling
signer20_sample503,191,tavan,ceiling
signer21_sample8,191,tavan,ceiling
signer21_sample57,191,tavan,ceiling
signer21_sample379,191,tavan,ceiling
signer22_sample188,191,tavan,ceiling
signer22_sample284,191,tavan,ceiling
signer22_sample533,191,tavan,ceiling
signer23_sample417,191,tavan,ceiling
signer23_sample511,191,tavan,ceiling
signer23_sample538,191,tavan,ceiling
signer24_sample405,191,tavan,ceiling
signer24_sample476,191,tavan,ceiling
signer24_sample590,191,tavan,ceiling
signer26_sample82,191,tavan,ceiling
signer26_sample299,191,tavan,ceiling
signer26_sample497,191,tavan,ceiling
signer28_sample194,191,tavan,ceiling
signer28_sample374,191,tavan,ceiling
signer28_sample579,191,tavan,ceiling
signer29_sample70,191,tavan,ceiling
signer29_sample450,191,tavan,ceiling
signer29_sample547,191,tavan,ceiling
signer31_sample9,191,tavan,ceiling
signer31_sample149,191,tavan,ceiling
signer31_sample167,191,tavan,ceiling
signer32_sample195,191,tavan,ceiling
signer32_sample271,191,tavan,ceiling
signer32_sample496,191,tavan,ceiling
signer33_sample159,191,tavan,ceiling
signer33_sample274,191,tavan,ceiling
signer33_sample621,191,tavan,ceiling
signer36_sample224,191,tavan,ceiling
signer36_sample275,191,tavan,ceiling
signer36_sample440,191,tavan,ceiling
signer37_sample49,191,tavan,ceiling
signer37_sample519,191,tavan,ceiling
signer37_sample534,191,tavan,ceiling
signer38_sample328,191,tavan,ceiling
signer38_sample554,191,tavan,ceiling
signer38_sample605,191,tavan,ceiling
signer40_sample39,191,tavan,ceiling
signer40_sample113,191,tavan,ceiling
signer40_sample601,191,tavan,ceiling
signer41_sample448,191,tavan,ceiling
signer41_sample597,191,tavan,ceiling
signer41_sample638,191,tavan,ceiling
signer42_sample212,191,tavan,ceiling
signer42_sample339,191,tavan,ceiling
signer42_sample495,191,tavan,ceiling
signer0_sample6,140,ocak,oven
signer0_sample294,140,ocak,oven
signer0_sample378,140,ocak,oven
signer0_sample504,140,ocak,oven
signer0_sample691,140,ocak,oven
signer0_sample1332,140,ocak,oven
signer2_sample3,140,ocak,oven
signer2_sample181,140,ocak,oven
signer2_sample377,140,ocak,oven
signer2_sample1208,140,ocak,oven
signer2_sample1228,140,ocak,oven
signer2_sample1318,140,ocak,oven
signer3_sample334,140,ocak,oven
signer3_sample589,140,ocak,oven
signer3_sample636,140,ocak,oven
signer4_sample129,140,ocak,oven
signer4_sample345,140,ocak,oven
signer4_sample364,140,ocak,oven
signer5_sample62,140,ocak,oven
signer5_sample79,140,ocak,oven
signer5_sample146,140,ocak,oven
signer7_sample293,140,ocak,oven
signer7_sample458,140,ocak,oven
signer7_sample924,140,ocak,oven
signer7_sample1086,140,ocak,oven
signer7_sample1419,140,ocak,oven
signer7_sample1460,140,ocak,oven
signer7_sample1494,140,ocak,oven
signer7_sample1658,140,ocak,oven
signer7_sample1766,140,ocak,oven
signer7_sample1801,140,ocak,oven
signer7_sample2501,140,ocak,oven
signer7_sample2625,140,ocak,oven
signer8_sample41,140,ocak,oven
signer8_sample610,140,ocak,oven
signer8_sample778,140,ocak,oven
signer8_sample888,140,ocak,oven
signer8_sample1072,140,ocak,oven
signer8_sample1267,140,ocak,oven
signer8_sample1284,140,ocak,oven
signer8_sample1332,140,ocak,oven
signer8_sample1439,140,ocak,oven
signer8_sample1556,140,ocak,oven
signer8_sample1900,140,ocak,oven
signer8_sample2679,140,ocak,oven
signer9_sample9,140,ocak,oven
signer9_sample44,140,ocak,oven
signer9_sample412,140,ocak,oven
signer10_sample159,140,ocak,oven
signer10_sample421,140,ocak,oven
signer10_sample475,140,ocak,oven
signer12_sample48,140,ocak,oven
signer12_sample86,140,ocak,oven
signer12_sample156,140,ocak,oven
signer12_sample649,140,ocak,oven
signer12_sample1078,140,ocak,oven
signer12_sample1328,140,ocak,oven
signer12_sample1727,140,ocak,oven
signer12_sample1860,140,ocak,oven
signer12_sample1903,140,ocak,oven
signer13_sample26,140,ocak,oven
signer13_sample86,140,ocak,oven
signer13_sample754,140,ocak,oven
signer13_sample1116,140,ocak,oven
signer13_sample1242,140,ocak,oven
signer13_sample1466,140,ocak,oven
signer13_sample1792,140,ocak,oven
signer13_sample1817,140,ocak,oven
signer13_sample1905,140,ocak,oven
signer15_sample400,140,ocak,oven
signer15_sample429,140,ocak,oven
signer17_sample36,140,ocak,oven
signer17_sample434,140,ocak,oven
signer19_sample28,140,ocak,oven
signer19_sample125,140,ocak,oven
signer19_sample440,140,ocak,oven
signer20_sample168,140,ocak,oven
signer20_sample415,140,ocak,oven
signer20_sample533,140,ocak,oven
signer21_sample218,140,ocak,oven
signer21_sample250,140,ocak,oven
signer21_sample565,140,ocak,oven
signer22_sample40,140,ocak,oven
signer22_sample103,140,ocak,oven
signer22_sample220,140,ocak,oven
signer23_sample399,140,ocak,oven
signer23_sample582,140,ocak,oven
signer23_sample644,140,ocak,oven
signer24_sample289,140,ocak,oven
signer24_sample402,140,ocak,oven
signer24_sample526,140,ocak,oven
signer26_sample73,140,ocak,oven
signer26_sample161,140,ocak,oven
signer26_sample385,140,ocak,oven
signer28_sample385,140,ocak,oven
signer28_sample394,140,ocak,oven
signer28_sample555,140,ocak,oven
signer29_sample20,140,ocak,oven
signer29_sample502,140,ocak,oven
signer29_sample505,140,ocak,oven
signer31_sample128,140,ocak,oven
signer31_sample288,140,ocak,oven
signer31_sample378,140,ocak,oven
signer32_sample20,140,ocak,oven
signer32_sample498,140,ocak,oven
signer32_sample553,140,ocak,oven
signer33_sample23,140,ocak,oven
signer33_sample257,140,ocak,oven
signer33_sample524,140,ocak,oven
signer36_sample19,140,ocak,oven
signer36_sample105,140,ocak,oven
signer36_sample514,140,ocak,oven
signer37_sample91,140,ocak,oven
signer37_sample221,140,ocak,oven
signer37_sample326,140,ocak,oven
signer38_sample40,140,ocak,oven
signer38_sample100,140,ocak,oven
signer38_sample324,140,ocak,oven
signer40_sample149,140,ocak,oven
signer40_sample290,140,ocak,oven
signer40_sample395,140,ocak,oven
signer41_sample386,140,ocak,oven
signer41_sample428,140,ocak,oven
signer41_sample661,140,ocak,oven
signer42_sample83,140,ocak,oven
signer42_sample95,140,ocak,oven
signer42_sample595,140,ocak,oven
signer0_sample7,139,nine,grandmother
signer0_sample50,139,nine,grandmother
signer0_sample552,139,nine,grandmother
