videoFile,groundTruthWords,predictedWords,SwadeshWords,matchedSwadeshWords,unmatchedSwadeshWords,WoodWords,matchedWoodWords,unmatchedWoodWords
aus_23.mp4,"[""''"" ',' '.' 'Follow' '``' 'boy' 'dog' 'followed' 'running' 'said']",['AREA' 'FALL' 'GO' 'SIT' 'SNOOKER' 'WALK'],['dog'],[],['dog'],['dog'],[],['dog']
aus_22.mp4,"[',' '.' 'boy' 'deer' 'got' 'onto' 'ran' 'stood']","['ARRANGE' 'CEILING' 'CLOTHES' 'DECORATE' 'DIG' 'ESCAPE' 'FALL' 'FLOCK'
 'GESTURE' 'GO' 'HURT' 'LOW' 'RAIN' 'ROLL' 'SNOOKER' 'SWIM' 'TALL' 'WALK']",['stood'],[],['stood'],[],[],[]
aus_1.mp4,['.' 'bedroom' 'boy' 'frog' 'jar' 'kept' 'stoppered' 'story'],"['ALLOW' 'AMERICA' 'AREA' 'ARRANGE' 'ARRIVE' 'ASK' 'BECKON' 'BEST' 'BIG'
 'BOY' 'COMMUNIST' 'DARTS' 'DESSERT' 'DIG' 'EASY' 'ENOUGH' 'EXPAND' 'FALL'
 'FEEL' 'FIND' 'FLOCK' 'FOREIGN' 'GO' 'GROUP' 'HEAR' 'HOME' 'INATTENTION'
 'KNOW' 'LAUGH' 'LEAVE' 'LITTLE' 'LONDON' 'LONELY' 'LOOK' 'MANCHESTER'
 'MOVE' 'MUST' 'NICE' 'NIGHT' 'PANIC' 'PAST' 'PLAN' 'READY' 'RED' 'RELAX'
 'REMEMBER' 'RIGHT' 'SAY' 'SHOULDNT' 'SLEEP' 'STILL' 'STUCK' 'STUPID'
 'SURPRISE' 'TALL' 'TELEVISION' 'TOMORROW' 'TOUCH' 'TYPICAL' 'VEHICLE'
 'WAIT' 'WALK' 'WANT' 'WEDNESDAY' 'YES']",[],[],[],[],[],[]
aus_20.mp4,"[""''"" '.' '``' 'area' 'big' 'branches' 'dome-shaped' 'front' 'rock'
 'small' 'walked']","['AEROPLANE' 'ARRANGE' 'AUDIENCE' 'BECKON' 'BELFAST' 'BIG' 'BOY' 'CEILING'
 'CHILD' 'CHOOSE' 'CHRISTMAS' 'CURTAINS' 'EASY' 'EXPAND' 'FALL' 'GOOD'
 'LAUGH' 'LOOK' 'MOVE' 'PANIC' 'PARTY' 'PAST' 'RED' 'RIGHT' 'RISE' 'SAY'
 'SETTLE' 'SNOOKER' 'SPREAD' 'TALL' 'TOMORROW' 'TYPICAL' 'WALK']","['big', 'small', 'walked']","['big', 'walked']",['small'],[],[],[]
aus_3.mp4,"[',' '.' 'Immediately' 'bed' 'got' 'lay' 'slept']","['ACCOMMODATION' 'ADULT' 'ALLOW' 'AROUND' 'BEDROOM' 'BOY' 'CLOTHES'
 'DANCE' 'DECREASE' 'FLOCK' 'HOLIDAY' 'HOLLAND' 'HURT' 'LONELY' 'LOOK'
 'LOW' 'MEAL' 'PRIEST' 'SAY' 'SIT' 'SLEEP' 'TENT' 'THEORY' 'UPWARD' 'WALK'
 'WORRY' 'WOW']",['slept'],['slept'],[],[],[],[]
aus_2.mp4,"[""'s"" ',' '.' 'Good' 'also' 'boy' 'dog' 'enjoyed' 'frog' 'looking'
 'settled']","['ARRANGE' 'BECKON' 'BIG' 'BORN' 'CAD' 'EXPAND' 'FALL' 'FLOCK' 'GOOD'
 'HURT' 'LOOK' 'PANIC' 'PREGNANT' 'RELAX' 'SNOOKER' 'SURPRISE' 'TIRED'
 'TOILET' 'WALK' 'WOW']",['dog'],['dog'],[],['dog'],['dog'],[]
aus_21.mp4,"[""''"" ""'s"" ',' '.' '``' 'actually' 'antlers' 'boy' 'branches' 'climbed'
 'deer' 'dog' 'held' 'rocks' 'see' 'surprised']","['ARRIVE' 'CAD' 'CEILING' 'CONTINUE' 'ESCAPE' 'FALL' 'FLOCK' 'GO' 'GOAL'
 'HARD' 'LONELY' 'LUGGAGE' 'MOVE' 'PAST' 'PERSON' 'PLAN' 'RAIN' 'REGULAR'
 'SATURDAY' 'SIT' 'SNOOKER' 'STAND' 'STAY' 'TALL' 'TRY' 'UNIT' 'WALK'
 'YES']","['dog', 'see']",['dog'],['see'],['dog'],['dog'],[]
aus_6.mp4,['.' 'boy' 'disappeared' 'disappointed' 'dog' 'frog' 'realised'],"['ARRANGE' 'BECKON' 'CHILD' 'CLOTHES' 'ENOUGH' 'EXPAND' 'FLOCK' 'FREE'
 'GO' 'GROUP' 'LOW' 'RELAX' 'SNOOKER' 'TALL' 'TIRED' 'WANT']",['dog'],[],['dog'],['dog'],[],['dog']
aus_19.mp4,"['.' 'away' 'bird' 'boy' 'flapped' 'flew' 'impatiently' 'shooed' 'walked'
 'wings']","['BECKON' 'BOY' 'DESSERT' 'ESCAPE' 'FALL' 'FLOCK' 'GO' 'HOME' 'LONDON'
 'LOOK' 'MISS' 'MOVE' 'NOTHING' 'ROOM' 'SAY' 'SIT' 'SNOOKER' 'TAKE' 'TALL'
 'TOUCH' 'WALK']","['bird', 'flew', 'walked']",['walked'],"['bird', 'flew']",['bird'],[],['bird']
aus_18.mp4,"[',' '.' 'Um' 'around' 'beehive' 'bees' 'dog' 'fell' 'ground' 'hive'
 'near' 'played' 'still' 'swarmed']","['ACT' 'ARRANGE' 'AUDIENCE' 'BEACH' 'BEST' 'BIG' 'BRING' 'CHAIR' 'CHANGE'
 'CHILD' 'CHRISTMAS' 'CURTAINS' 'DIFFERENT' 'DRINK' 'EAT' 'ESCAPE'
 'EXPAND' 'FLOCK' 'FRIEND' 'GO' 'GOALKEEPER' 'GRAB' 'GRIP' 'GROUP' 'HARD'
 'INVOLVE' 'LEG' 'LONELY' 'LOW' 'LUGGAGE' 'MAN' 'MIX' 'MOVE' 'NEXT' 'PLUS'
 'ROOM' 'SHOUT' 'SISTER' 'SLEEP' 'SNOOKER' 'SWIM' 'TALL' 'TEACH' 'TRAVEL'
 'VANISH' 'WAR' 'WOW']",['dog'],[],['dog'],['dog'],[],['dog']
aus_7.mp4,"[',' '.' 'boy' 'frog' 'looked' 'looking' 'window' 'wondered']","['ANYTHING' 'BECKON' 'BIG' 'BREATHE' 'DIG' 'ESCAPE' 'EXCLUDE' 'FLOCK' 'GO'
 'MOVE' 'PLAY' 'SNOOKER' 'SURPRISE' 'TBUOY' 'WIDTH']",[],[],[],[],[],[]
aus_5.mp4,"[',' '.' 'Next' 'boy' 'checked' 'day' 'frog' 'jar' 'morning' 'see' 'still']","['ALLOW' 'AREA' 'AROUND' 'ARRANGE' 'AUDIENCE' 'BIG' 'BOSS' 'BOY' 'BREATHE'
 'DAY' 'EMOTION' 'ENDURE' 'FALL' 'FLOCK' 'FRIGHTENED' 'GO' 'GROUP' 'LIKE'
 'LONDON' 'LOOK' 'LOVE' 'MISS' 'PICTURE' 'PREGNANT' 'SAY' 'SURPRISE'
 'UPSET' 'WALK']",['see'],[],['see'],['day'],['day'],[]
aus_4.mp4,['.' 'boy' 'escaped' 'frog' 'jar' 'snored'],"['ARRANGE' 'BOY' 'CAMERA' 'CLOTHES' 'EASY' 'ENOUGH' 'FALL' 'FLOCK' 'GO'
 'HEARING' 'INFORMATION' 'LOOK' 'LOW' 'MEAL' 'PANIC' 'PREGNANT' 'PRIEST'
 'READY' 'RED' 'SAY' 'SIT' 'SNOOKER' 'SURPRISE' 'TIRED' 'WAKE' 'WALK'
 'WANT']",[],[],[],[],[],[]
